model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
 A1;2020;20000;Manual;5000;Petrol;145;49.6;1.0;audi
 A5;2017;19995;Semi-Auto;54000;Diesel;150;67.3;2.0;audi
 A3;2017;11895;Manual;28334;Petrol;150;62.8;1.0;audi
 Q7;2018;56900;Semi-Auto;5330;Diesel;145;39.2;4.0;audi
 A4;2019;27160;Semi-Auto;17790;Diesel;145;47.9;2.0;audi
 A6;2017;22950;Automatic;28700;Diesel;145;58.9;2.0;audi
 A3;2019;19000;Automatic;5999;Diesel;145;54.3;1.6;audi
 Q3;2019;25000;Manual;2000;Petrol;145;40.9;1.5;audi
 Q3;2016;21795;Semi-Auto;8325;Petrol;150;47.9;1.4;audi
 Q7;2020;70950;Automatic;5000;Diesel;145;30.1;4.0;audi
 TT;2015;19950;Semi-Auto;30851;Petrol;200;42.8;2.0;audi
 Q3;2018;18981;Manual;18280;Petrol;145;51.4;1.4;audi
 A1;2013;9000;Manual;49826;Petrol;30;55.4;1.2;audi
 Q3;2020;28500;Semi-Auto;1000;Diesel;145;47.1;2.0;audi
 A3;2019;21690;Semi-Auto;8852;Petrol;150;42.2;1.5;audi
 Q3;2019;28000;Automatic;4398;Diesel;150;40.9;2.0;audi
 Q2;2019;24990;Semi-Auto;3624;Petrol;145;40.9;1.5;audi
 A6;2019;30495;Automatic;6500;Diesel;145;47.9;2.0;audi
 Q3;2019;25636;Semi-Auto;15571;Diesel;145;48.7;2.0;audi
 Q5;2017;25495;Semi-Auto;33916;Petrol;150;40.9;2.0;audi
 A3;2015;9799;Manual;55522;Diesel;20;68.9;2.0;audi
 A4;2019;28995;Semi-Auto;5500;Petrol;145;40.9;2.0;audi
 A4;2016;16998;Manual;28753;Diesel;20;68.9;2.0;audi
 Q5;2019;32970;Automatic;5515;Diesel;145;38.2;2.0;audi
 A3;2019;21450;Manual;2800;Diesel;145;51.4;1.6;audi
 A1;2015;11491;Manual;42157;Diesel;0;80.7;1.6;audi
 Q3;2019;33400;Semi-Auto;7021;Petrol;150;31.7;2.0;audi
 A7;2019;33990;Automatic;10;Diesel;145;52.3;3.0;audi
 A3;2016;12999;Manual;38938;Diesel;30;68.9;1.6;audi
 RS4;2020;69890;Automatic;3350;Petrol;150;29.1;2.9;audi
 A6;2016;12000;Automatic;71311;Diesel;30;61.4;2.0;audi
 A4;2020;31500;Semi-Auto;1000;Diesel;145;53.3;2.0;audi
 A1;2017;11990;Manual;26994;Diesel;0;76.3;1.6;audi
 A6;2018;24000;Semi-Auto;18300;Diesel;145;61.4;2.0;audi
 A5;2015;11500;Automatic;62668;Diesel;145;53.3;2.0;audi
 A3;2010;4490;Manual;107304;Diesel;125;57.6;2.0;audi
 R8;2007;42992;Automatic;39000;Petrol;515;21.0;4.2;audi
 A5;2020;31990;Semi-Auto;5000;Petrol;145;39.8;2.0;audi
 Q3;2017;23995;Semi-Auto;25667;Petrol;145;40.4;2.0;audi
 A4;2014;9995;Manual;67054;Diesel;30;61.4;2.0;audi
 A3;2014;11995;Manual;46887;Diesel;0;74.3;1.6;audi
 Q5;2019;39990;Automatic;2632;Diesel;145;38.2;2.0;audi
 A1;2017;16900;Semi-Auto;22231;Petrol;145;56.5;1.4;audi
 Q7;2019;53000;Automatic;12336;Diesel;145;32.1;3.0;audi
 A1;2017;15698;Manual;16434;Petrol;145;70.6;1.4;audi
 Q2;2019;21422;Manual;2877;Diesel;145;49.6;1.6;audi
 Q2;2017;22692;Semi-Auto;39000;Diesel;145;58.9;2.0;audi
 Q3;2017;15860;Semi-Auto;44080;Petrol;145;47.9;1.4;audi
 Q3;2016;16800;Automatic;34811;Diesel;145;52.3;2.0;audi
 A3;2019;31900;Semi-Auto;2839;Petrol;145;34.9;2.0;audi
 A4;2016;15995;Manual;19912;Petrol;145;51.4;1.4;audi
 A3;2017;17400;Manual;24200;Petrol;145;54.3;1.5;audi
 Q7;2018;64842;Semi-Auto;31362;Diesel;145;37.2;4.0;audi
 A4;2014;11941;Manual;48548;Diesel;30;62.8;2.0;audi
 Q3;2015;12990;Manual;69072;Diesel;125;60.1;2.0;audi
 Q3;2019;40990;Automatic;500;Petrol;145;31.0;2.0;audi
 A3;2013;13930;Semi-Auto;30973;Petrol;125;50.4;1.8;audi
 Q5;2017;33495;Semi-Auto;37492;Petrol;150;34.0;3.0;audi
 A1;2017;14995;Manual;9500;Petrol;145;55.4;1.4;audi
 A8;2019;45000;Automatic;6269;Diesel;145;38.7;3.0;audi
 Q3;2016;14220;Manual;46816;Diesel;30;62.8;2.0;audi
 A3;2019;21450;Manual;7315;Diesel;145;55.4;2.0;audi
 TT;2019;31946;Semi-Auto;5500;Petrol;145;34.0;2.0;audi
 A5;2018;22500;Manual;23251;Diesel;145;64.2;2.0;audi
 A5;2015;13990;Manual;55000;Diesel;145;53.3;2.0;audi
